ICD_Code,Description,Critical_Illness_Classification
B0222,Postherpetic trigeminal neuralgia,NONE
B0230,"Zoster ocular disease, unspecified",NONE
B0239,Other herpes zoster eye disease,NONE
B028,Zoster with other complications,NONE
B0223,Postherpetic polyneuropathy,NONE
B0224,Postherpetic myelitis,NONE
B0231,Zoster conjunctivitis,NONE
B0232,Zoster iridocyclitis,NONE
B0233,Zoster keratitis,BLINDNESS
B0234,Zoster scleritis,NONE
B027,Disseminated zoster,NONE
B0082,Herpes simplex myelitis,BACTERIAL_MENINGITIS
B0089,Other herpesviral infection,VIRAL_ENCEPHALITIS
B009,"Herpesviral infection, unspecified",VIRAL_ENCEPHALITIS
B0111,Varicella encephalitis and encephalomyelitis,VIRAL_ENCEPHALITIS
B0059,Other herpesviral disease of eye,NONE
B007,Disseminated herpesviral disease,NONE
B029,Zoster without complications,NONE
B050,Measles complicated by encephalitis,VIRAL_ENCEPHALITIS
B051,Measles complicated by meningitis,NONE
B052,Measles complicated by pneumonia,VIRAL_ENCEPHALITIS
B053,Measles complicated by otitis media,NONE
B054,Measles with intestinal complications,NONE
B0589,Other measles complications,VIRAL_ENCEPHALITIS
B059,Measles without complication,NONE
B0601,Rubella encephalitis,VIRAL_ENCEPHALITIS
B0602,Rubella meningitis,VIRAL_ENCEPHALITIS
B0681,Rubella pneumonia,NONE
B0689,Other rubella complications,NONE
B069,Rubella without complication,NONE
B0682,Rubella arthritis,VIRAL_ENCEPHALITIS
B070,Plantar wart,NONE
B08010,Cowpox,NONE
B078,Other viral warts,NONE
B0802,Orf virus disease,NONE
B079,"Viral wart, unspecified",NONE
B08011,Vaccinia not from vaccine,NONE
B0804,"Paravaccinia, unspecified",NONE
B081,Molluscum contagiosum,NONE
B0803,Pseudocowpox [milker's node],NONE
B0809,Other orthopoxvirus infections,NONE
B0581,Measles keratitis and keratoconjunctivitis,NONE
B0609,Other neurological complications of rubella,COMA
B0600,"Rubella with neurological complication, unspecified",NONE
B03,Smallpox,NONE
B04,Monkeypox,NONE
B0820,"Exanthema subitum [sixth disease], unspecified",NONE
B084,Enteroviral vesicular stomatitis with exanthem,NONE
B083,Erythema infectiosum [fifth disease],NONE
B085,Enteroviral vesicular pharyngitis,NONE
B0869,Other parapoxvirus infections,NONE
B0879,Other yatapoxvirus infections,NONE
B1001,Human herpesvirus 6 encephalitis,VIRAL_ENCEPHALITIS
B1081,Human herpesvirus 6 infection,NONE
B1082,Human herpesvirus 7 infection,VIRAL_ENCEPHALITIS
B150,Hepatitis A with hepatic coma,NONE
B159,Hepatitis A without hepatic coma,NONE
B160,Acute hepatitis B with delta-agent with hepatic coma,END_STAGE_LIVER_DISEASE
B161,Acute hepatitis B with delta-agent without hepatic coma,NONE
B162,Acute hepatitis B without delta-agent with hepatic coma,FULMINANT_HEPATITIS
B170,Acute delta-(super) infection of hepatitis B carrier,FULMINANT_HEPATITIS
B1710,Acute hepatitis C without hepatic coma,END_STAGE_LIVER_DISEASE
B169,Acute hepatitis B without delta-agent and without hepatic coma,COMA
B1089,Other human herpesvirus infection,NONE
B1009,Other human herpesvirus encephalitis,VIRAL_ENCEPHALITIS
B0871,Tanapox virus disease,NONE
B0872,Yaba pox virus disease,NONE
B0870,"Yatapoxvirus infection, unspecified",VIRAL_ENCEPHALITIS
B0861,Bovine stomatitis,NONE
B0862,Sealpox,NONE
B0860,"Parapoxvirus infection, unspecified",NONE
B0821,Exanthema subitum [sixth disease] due to human herpesvirus 6,NONE
B0822,Exanthema subitum [sixth disease] due to human herpesvirus 7,NONE
B088,Other specified viral infections characterized by skin and mucous membrane lesions,NONE
B09,Unspecified viral infection characterized by skin and mucous membrane lesions,NONE
B1711,Acute hepatitis C with hepatic coma,COMA
B178,Other specified acute viral hepatitis,FULMINANT_HEPATITIS
B180,Chronic viral hepatitis B with delta-agent,NONE
B181,Chronic viral hepatitis B without delta-agent,NONE
B190,Unspecified viral hepatitis with hepatic coma,COMA
B1910,Unspecified viral hepatitis B without hepatic coma,FULMINANT_HEPATITIS
B1920,Unspecified viral hepatitis C without hepatic coma,NONE
B1911,Unspecified viral hepatitis B with hepatic coma,COMA
B1921,Unspecified viral hepatitis C with hepatic coma,COMA
B199,Unspecified viral hepatitis without hepatic coma,FULMINANT_HEPATITIS
B20,Human immunodeficiency virus [HIV] disease,NONE
B250,Cytomegaloviral pneumonitis,END_STAGE_LUNG_DISEASE
B252,Cytomegaloviral pancreatitis,NONE
B258,Other cytomegaloviral diseases,NONE
B259,"Cytomegaloviral disease, unspecified",NONE
B251,Cytomegaloviral hepatitis,NONE
B260,Mumps orchitis,BACTERIAL_MENINGITIS
B261,Mumps meningitis,NONE
B262,Mumps encephalitis,VIRAL_ENCEPHALITIS
B263,Mumps pancreatitis,NONE
B2682,Mumps myocarditis,HEART_ATTACK
B2684,Mumps polyneuropathy,VIRAL_ENCEPHALITIS
B2681,Mumps hepatitis,NONE
B2683,Mumps nephritis,KIDNEY_FAILURE
B179,"Acute viral hepatitis, unspecified",NONE
B182,Chronic viral hepatitis C,END_STAGE_LIVER_DISEASE
B188,Other chronic viral hepatitis,NONE
B189,"Chronic viral hepatitis, unspecified",NONE
B172,Acute hepatitis E,NONE
B2685,Mumps arthritis,NONE
B2689,Other mumps complications,NONE
B269,Mumps without complication,NONE
B2700,Gammaherpesviral mononucleosis without complication,NONE
B2701,Gammaherpesviral mononucleosis with polyneuropathy,NONE
B2709,Gammaherpesviral mononucleosis with other complications,NONE
B2710,Cytomegaloviral mononucleosis without complications,NONE
B2711,Cytomegaloviral mononucleosis with polyneuropathy,NONE
B2719,Cytomegaloviral mononucleosis with other complication,MAJOR_CANCERS
B2780,Other infectious mononucleosis without complication,NONE
B2781,Other infectious mononucleosis with polyneuropathy,BACTERIAL_MENINGITIS
B2789,Other infectious mononucleosis with other complication,NONE
B2790,"Infectious mononucleosis, unspecified without complication",NONE
B2791,"Infectious mononucleosis, unspecified with polyneuropathy",NONE
B2799,"Infectious mononucleosis, unspecified with other complication",NONE
B2792,"Infectious mononucleosis, unspecified with meningitis",NONE
B303,Acute epidemic hemorrhagic conjunctivitis (enteroviral),NONE
B300,Keratoconjunctivitis due to adenovirus,NONE
B301,Conjunctivitis due to adenovirus,NONE
B302,Viral pharyngoconjunctivitis,NONE
B308,Other viral conjunctivitis,NONE
B3320,"Viral carditis, unspecified",NONE
B330,Epidemic myalgia,MUSCULAR_DYSTROPHY
B331,Ross River disease,NONE
B3321,Viral endocarditis,NONE
B309,"Viral conjunctivitis, unspecified",NONE
B2782,Other infectious mononucleosis with meningitis,VIRAL_ENCEPHALITIS
B2712,Cytomegaloviral mononucleosis with meningitis,COMA
B2702,Gammaherpesviral mononucleosis with meningitis,NONE
B3322,Viral myocarditis,NONE
B3323,Viral pericarditis,NONE
B3324,Viral cardiomyopathy,NONE
B338,Other specified viral diseases,NONE
B340,"Adenovirus infection, unspecified",NONE
B341,"Enterovirus infection, unspecified",NONE
B342,"Coronavirus infection, unspecified",NONE
B343,"Parvovirus infection, unspecified",VIRAL_ENCEPHALITIS
B344,"Papovavirus infection, unspecified",NONE
B349,"Viral infection, unspecified",NONE
B351,Tinea unguium,NONE
B352,Tinea manuum,NONE
B354,Tinea corporis,NONE
B355,Tinea imbricata,NONE
B358,Other dermatophytoses,NONE
B360,Pityriasis versicolor,SYSTEMIC_LUPUS_ERYTHEMATOSUS
B370,Candidal stomatitis,NONE
B359,"Dermatophytosis, unspecified",NONE
B368,Other specified superficial mycoses,NONE
B369,"Superficial mycosis, unspecified",NONE
B356,Tinea cruris,NONE
B361,Tinea nigra,NONE
B362,White piedra,NONE
B363,Black piedra,NONE
B353,Tinea pedis,NONE
B350,Tinea barbae and tinea capitis,NONE
B348,Other viral infections of unspecified site,NONE
B333,"Retrovirus infections, not elsewhere classified",NONE
B334,Hantavirus (cardio)-pulmonary syndrome [HPS] [HCPS],NONE
B371,Pulmonary candidiasis,NONE
B3742,Candidal balanitis,NONE
B375,Candidal meningitis,NONE
B376,Candidal endocarditis,NONE
B3781,Candidal esophagitis,NONE
B3782,Candidal enteritis,NONE
B3783,Candidal cheilitis,NONE
B3784,Candidal otitis externa,NONE
B3789,Other sites of candidiasis,NONE
B379,"Candidiasis, unspecified",NONE
B380,Acute pulmonary coccidioidomycosis,END_STAGE_LUNG_DISEASE
B381,Chronic pulmonary coccidioidomycosis,NONE
B383,Cutaneous coccidioidomycosis,NONE
B384,Coccidioidomycosis meningitis,NONE
B3881,Prostatic coccidioidomycosis,NONE
B387,Disseminated coccidioidomycosis,NONE
B3889,Other forms of coccidioidomycosis,NONE
B390,Acute pulmonary histoplasmosis capsulati,NONE
B391,Chronic pulmonary histoplasmosis capsulati,NONE
B393,Disseminated histoplasmosis capsulati,NONE
B394,"Histoplasmosis capsulati, unspecified",NONE
B392,"Pulmonary histoplasmosis capsulati, unspecified",END_STAGE_LUNG_DISEASE
B389,"Coccidioidomycosis, unspecified",NONE
B382,"Pulmonary coccidioidomycosis, unspecified",NONE
B377,Candidal sepsis,NONE
B372,Candidiasis of skin and nail,NONE
B373,Candidiasis of vulva and vagina,NONE
B3741,Candidal cystitis and urethritis,NONE
B3749,Other urogenital candidiasis,NONE
B395,Histoplasmosis duboisii,NONE
B399,"Histoplasmosis, unspecified",NONE
B403,Cutaneous blastomycosis,NONE
B407,Disseminated blastomycosis,NONE
B4089,Other forms of blastomycosis,BLINDNESS
B409,"Blastomycosis, unspecified",NONE
B420,Pulmonary sporotrichosis,NONE
B427,Disseminated sporotrichosis,NONE
B4289,Other forms of sporotrichosis,NONE
B429,"Sporotrichosis, unspecified",NONE
B430,Cutaneous chromomycosis,NONE
B431,Pheomycotic brain abscess,NONE
B438,Other forms of chromomycosis,NONE
B440,Invasive pulmonary aspergillosis,NONE
B441,Other pulmonary aspergillosis,NONE
B442,Tonsillar aspergillosis,NONE
B439,"Chromomycosis, unspecified",NONE
B432,Subcutaneous pheomycotic abscess and cyst,NONE
B4281,Cerebral sporotrichosis,NONE
B4282,Sporotrichosis arthritis,NONE
B400,Acute pulmonary blastomycosis,NONE
B401,Chronic pulmonary blastomycosis,NONE
B402,"Pulmonary blastomycosis, unspecified",NONE
B4081,Blastomycotic meningoencephalitis,NONE
B410,Pulmonary paracoccidioidomycosis,END_STAGE_LUNG_DISEASE
B417,Disseminated paracoccidioidomycosis,NONE
B418,Other forms of paracoccidioidomycosis,NONE
B419,"Paracoccidioidomycosis, unspecified",NONE
B421,Lymphocutaneous sporotrichosis,NONE
B447,Disseminated aspergillosis,NONE
B4489,Other forms of aspergillosis,NONE
B449,"Aspergillosis, unspecified",NONE
B450,Pulmonary cryptococcosis,NONE
B452,Cutaneous cryptococcosis,NONE
B457,Disseminated cryptococcosis,NONE
B458,Other forms of cryptococcosis,NONE
B459,"Cryptococcosis, unspecified",NONE
B460,Pulmonary mucormycosis,NONE
B463,Cutaneous mucormycosis,NONE
B464,Disseminated mucormycosis,NONE
B465,"Mucormycosis, unspecified",NONE
B469,"Zygomycosis, unspecified",NONE
B479,"Mycetoma, unspecified",NONE
B488,Other specified mycoses,NONE
B49,Unspecified mycosis,NONE
B468,Other zygomycoses,NONE
B470,Eumycetoma,NONE
B480,Lobomycosis,NONE
B482,Allescheriasis,NONE
B483,Geotrichosis,NONE
B484,Penicillosis,NONE
B481,Rhinosporidiosis,NONE
B471,Actinomycetoma,NONE
B461,Rhinocerebral mucormycosis,NONE
B462,Gastrointestinal mucormycosis,NONE
B451,Cerebral cryptococcosis,NONE
B453,Osseous cryptococcosis,NONE
B4481,Allergic bronchopulmonary aspergillosis,NONE
B500,Plasmodium falciparum malaria with cerebral complications,STROKE
B509,"Plasmodium falciparum malaria, unspecified",NONE
B510,Plasmodium vivax malaria with rupture of spleen,NONE
B519,Plasmodium vivax malaria without complication,NONE
B520,Plasmodium malariae malaria with nephropathy,KIDNEY_FAILURE
B528,Plasmodium malariae malaria with other complications,NONE
B529,Plasmodium malariae malaria without complication,NONE
B530,Plasmodium ovale malaria,NONE
B54,Unspecified malaria,NONE
B550,Visceral leishmaniasis,NONE
B551,Cutaneous leishmaniasis,NONE
B552,Mucocutaneous leishmaniasis,NONE
B559,"Leishmaniasis, unspecified",NONE
B560,Gambiense trypanosomiasis,NONE
B561,Rhodesiense trypanosomiasis,NONE
B569,"African trypanosomiasis, unspecified",NONE
B5731,Megaesophagus in Chagas' disease,NONE
B5732,Megacolon in Chagas' disease,NONE
B5741,Meningitis in Chagas' disease,BACTERIAL_MENINGITIS
B570,Acute Chagas' disease with heart involvement,NONE
B571,Acute Chagas' disease without heart involvement,NONE
B572,Chagas' disease (chronic) with heart involvement,NONE
B5739,Other digestive system involvement in Chagas' disease,NONE
B5730,"Chagas' disease with digestive system involvement, unspecified",NONE
B5740,"Chagas' disease with nervous system involvement, unspecified",NONE
B531,Malaria due to simian plasmodia,NONE
B538,"Other malaria, not elsewhere classified",NONE
B518,Plasmodium vivax malaria with other complications,NONE
B508,Other severe and complicated Plasmodium falciparum malaria,NONE
B5742,Meningoencephalitis in Chagas' disease,NONE
B5800,"Toxoplasma oculopathy, unspecified",NONE
B5801,Toxoplasma chorioretinitis,NONE
B581,Toxoplasma hepatitis,FULMINANT_HEPATITIS
B583,Pulmonary toxoplasmosis,NONE
B5881,Toxoplasma myocarditis,NONE
B589,"Toxoplasmosis, unspecified",NONE
B6010,"Acanthamebiasis, unspecified",NONE
B6019,Other acanthamebic disease,NONE
B64,Unspecified protozoal disease,NONE
B653,Cercarial dermatitis,NONE
B658,Other schistosomiasis,NONE
B608,Other specified protozoal diseases,NONE
B6012,Conjunctivitis due to Acanthamoeba,NONE
B6013,Keratoconjunctivitis due to Acanthamoeba,NONE
B652,Schistosomiasis due to Schistosoma japonicum,NONE
B59,Pneumocystosis,NONE
B600,Babesiosis,NONE
B602,Naegleriasis,NONE
B5882,Toxoplasma myositis,NONE
B5809,Other toxoplasma oculopathy,NONE
B582,Toxoplasma meningoencephalitis,NONE
B5883,Toxoplasma tubulo-interstitial nephropathy,KIDNEY_FAILURE
B5889,Toxoplasmosis with other organ involvement,NONE
B6011,Meningoencephalitis due to Acanthamoeba (culbertsoni),NONE
B650,Schistosomiasis due to Schistosoma haematobium [urinary schistosomiasis],NONE
B651,Schistosomiasis due to Schistosoma mansoni [intestinal schistosomiasis],NONE
B5749,Other nervous system involvement in Chagas' disease,NONE
B575,Chagas' disease (chronic) with other organ involvement,NONE
B659,"Schistosomiasis, unspecified",NONE
B668,Other specified fluke infections,NONE
B670,Echinococcus granulosus infection of liver,NONE
B671,Echinococcus granulosus infection of lung,NONE
B672,Echinococcus granulosus infection of bone,NONE
B6731,"Echinococcus granulosus infection, thyroid gland",NONE
B6732,"Echinococcus granulosus infection, multiple sites",NONE
B6739,"Echinococcus granulosus infection, other sites",NONE
B674,"Echinococcus granulosus infection, unspecified",END_STAGE_LIVER_DISEASE
B6761,"Echinococcus multilocularis infection, multiple sites",NONE
B6769,"Echinococcus multilocularis infection, other sites",NONE
B677,"Echinococcus multilocularis infection, unspecified",END_STAGE_LIVER_DISEASE
B678,"Echinococcosis, unspecified, of liver",NONE
B690,Cysticercosis of central nervous system,MAJOR_CANCERS
B6790,"Echinococcosis, unspecified",NONE
B6799,Other echinococcosis,NONE
B680,Taenia solium taeniasis,NONE
B681,Taenia saginata taeniasis,NONE
B689,"Taeniasis, unspecified",NONE
B691,Cysticercosis of eye,NONE
B6981,Myositis in cysticercosis,NONE
B675,Echinococcus multilocularis infection of liver,END_STAGE_LIVER_DISEASE
B669,"Fluke infection, unspecified",NONE
B660,Opisthorchiasis,NONE
B661,Clonorchiasis,NONE
B662,Dicroceliasis,END_STAGE_LIVER_DISEASE
B663,Fascioliasis,NONE
B664,Paragonimiasis,NONE
B665,Fasciolopsiasis,NONE
B6989,Cysticercosis of other sites,NONE
B699,"Cysticercosis, unspecified",MAJOR_CANCERS
B718,Other specified cestode infections,NONE
B7301,Onchocerciasis with endophthalmitis,NONE
B731,Onchocerciasis without eye disease,NONE
B740,Filariasis due to Wuchereria bancrofti,NONE
B7309,Onchocerciasis with other eye involvement,NONE
B7300,"Onchocerciasis with eye involvement, unspecified",NONE
B719,"Cestode infection, unspecified",NONE
B7302,Onchocerciasis with glaucoma,NONE
B741,Filariasis due to Brugia malayi,NONE
B742,Filariasis due to Brugia timori,NONE
B743,Loiasis,NONE
B744,Mansonelliasis,NONE
B748,Other filariases,NONE
B75,Trichinellosis,NONE
B761,Necatoriasis,NONE
B760,Ancylostomiasis,FULMINANT_HEPATITIS
B749,"Filariasis, unspecified",NONE
B768,Other hookworm diseases,NONE
B7781,Ascariasis pneumonia,NONE
B769,"Hookworm disease, unspecified",NONE
B770,Ascariasis with intestinal complications,NONE
B7789,Ascariasis with other complications,NONE
B700,Diphyllobothriasis,NONE
B701,Sparganosis,NONE
B711,Dipylidiasis,NONE
B72,Dracunculiasis,NONE
B710,Hymenolepiasis,NONE
B779,"Ascariasis, unspecified",NONE
B780,Intestinal strongyloidiasis,NONE
B781,Cutaneous strongyloidiasis,NONE
B787,Disseminated strongyloidiasis,KIDNEY_FAILURE
B789,"Strongyloidiasis, unspecified",NONE
B79,Trichuriasis,NONE
B80,Enterobiasis,NONE
B810,Anisakiasis,NONE
B811,Intestinal capillariasis,NONE
B813,Intestinal angiostrongyliasis,NONE
B814,Mixed intestinal helminthiases,NONE
B818,Other specified intestinal helminthiases,NONE
B832,Angiostrongyliasis due to Parastrongylus cantonensis,NONE
B850,Pediculosis due to Pediculus humanus capitis,NONE
B851,Pediculosis due to Pediculus humanus corporis,NONE
B820,"Intestinal helminthiasis, unspecified",NONE
B829,"Intestinal parasitism, unspecified",NONE
B830,Visceral larva migrans,NONE
B831,Gnathostomiasis,NONE
B834,Internal hirudiniasis,NONE
B838,Other specified helminthiases,NONE
B839,"Helminthiasis, unspecified",NONE
B852,"Pediculosis, unspecified",NONE
B870,Cutaneous myiasis,NONE
B854,Mixed pediculosis and phthiriasis,NONE
B853,Phthiriasis,NONE
B86,Scabies,NONE
B833,Syngamiasis,NONE
B812,Trichostrongyliasis,NONE
B871,Wound myiasis,NONE
B872,Ocular myiasis,NONE
B874,Aural myiasis,NONE
B873,Nasopharyngeal myiasis,NONE
B8781,Genitourinary myiasis,NONE
B8789,Myiasis of other sites,NONE
B879,"Myiasis, unspecified",NONE
B883,External hirudiniasis,NONE
B881,Tungiasis [sandflea infestation],NONE
B882,Other arthropod infestations,NONE
B888,Other specified infestations,NONE
B89,Unspecified parasitic disease,NONE
B900,Sequelae of central nervous system tuberculosis,NONE
B909,Sequelae of respiratory and unspecified tuberculosis,NONE
B948,Sequelae of other specified infectious and parasitic diseases,APLASTIC_ANAEMIA
B950,"Streptococcus, group A, as the cause of diseases classified elsewhere",NONE
B951,"Streptococcus, group B, as the cause of diseases classified elsewhere",NONE
B949,Sequelae of unspecified infectious and parasitic disease,NONE
B901,Sequelae of genitourinary tuberculosis,NONE
B902,Sequelae of tuberculosis of bones and joints,NONE
B908,Sequelae of tuberculosis of other organs,BACTERIAL_MENINGITIS
B889,"Infestation, unspecified",NONE
B91,Sequelae of poliomyelitis,NONE
